City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
512,Bandarbeyla,SO,78.93,broken clouds,9.4942,50.8122,JABIR HOTEL
516,Rivers,CA,72.54,clear sky,50.0308,-100.2403,Blue Crescent Hotels
517,Nago,JP,84.63,overcast clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
519,Quatre Cocos,MU,74.08,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
520,Lorengau,PG,84.52,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
521,Goderich,CA,76.21,broken clouds,43.7501,-81.7165,Harmony Inn
523,Port Blair,IN,82.81,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
528,Pizarro,CO,79.88,broken clouds,4.9533,-77.366,Hotel Limonar
529,Sokoto,NG,89.91,broken clouds,13.0609,5.239,Shukura Coral Hotel
530,Accra,GH,80.92,broken clouds,5.556,-0.1969,Accra City Hotel
536,Koulamoutou,GA,72.45,broken clouds,-1.1303,12.4736,Motel Bouenguidi
537,Maple Creek,CA,72.46,broken clouds,49.9168,-109.4848,Willowbend Campground & Cabins
538,Zhanaozen,KZ,77.67,clear sky,43.3,52.8,K.korabay 28A
544,Bourail,NC,76.37,few clouds,-21.5667,165.4833,Motel Allamanda
545,Vao,NC,73.31,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
547,Teluknaga,ID,79.61,few clouds,-6.0989,106.6381,Bale Ocasa hotel
549,Half Moon Bay,US,88.57,broken clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
553,Makakilo City,US,86.32,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
554,Ikom,NG,74.12,overcast clouds,5.9667,8.7063,Reho Farm & Resort
556,Qui Nhon,VN,80.26,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
568,Kasba,IN,78.04,overcast clouds,25.85,87.55,Mira dab nath
570,Guozhen,CN,77.0,overcast clouds,34.3659,107.359,Yucai Hotel
572,Coahuayana,MX,78.28,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
574,Simga,IN,80.62,overcast clouds,21.6333,81.7,OM Hotel & Sweet
577,Kirakira,SB,81.52,overcast clouds,-10.4544,161.9205,SanBiz Lodge
584,Kieta,PG,83.53,clear sky,-6.2167,155.6333,Uruna Bay Retreat
585,La Rochelle,FR,73.47,clear sky,46.1667,-1.15,Hotel Henri IV
587,Ramhormoz,IR,86.29,clear sky,31.28,49.6035,کافی نت کاریزما
590,Baghmara,IN,78.49,overcast clouds,23.795,86.2085,Shankar tea shop
593,Havelock,US,77.05,broken clouds,34.8791,-76.9013,Sherwood Motel
594,Panaba,MX,78.58,overcast clouds,21.2833,-88.2667,Posada rosario
598,Biak,ID,76.66,overcast clouds,-0.9131,122.8766,Penginapan Kim
600,Dera Bugti,PK,87.4,clear sky,29.0307,69.151,Nawab Bugti House
603,Ratnagiri,IN,78.44,light rain,16.9833,73.3,Hotel Landmark
614,Dicabisagan,PH,83.07,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
616,Nipawin,CA,70.79,scattered clouds,53.3668,-104.0009,Tobin Lake Motel
618,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
622,Kollam,IN,78.67,overcast clouds,8.8833,76.6,Nani Hotels and Resorts
623,Tuy Hoa,VN,78.62,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
625,Yicheng,CN,74.55,heavy intensity rain,31.3705,119.8703,GreenTree Alliance Wuxi Yixing Jinyizhong Road Chengbei RT-Market Hotel
626,Griffith,US,83.57,clear sky,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
628,Puerto Ayacucho,VE,74.17,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
630,Tema,GH,80.85,broken clouds,5.667,-0.0166,Beulah Royale
631,Lubao,PH,82.15,overcast clouds,14.9167,120.55,Hacienda Gracia
633,Ayame,CI,75.09,broken clouds,5.6083,-3.1563,Hotel Bossan
635,George Town,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
639,Tha Chang,TH,80.15,overcast clouds,9.2642,99.1922,สุริยาค้าไม้
