City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Coquimbo,CL,-29.9533,-71.3436,56.93,88,90,3.44,overcast clouds
308,Fortuna,US,40.5982,-124.1573,79.48,61,1,5.01,clear sky
309,Sakakah,SA,29.9697,40.2064,83.19,18,0,7.4,clear sky
310,Bathsheba,BB,13.2167,-59.5167,81.21,74,20,14.97,few clouds
311,Namibe,AO,-15.1961,12.1522,70.39,72,6,3.11,clear sky
312,Puntarenas,CR,9.9763,-84.8384,80.53,80,62,7.36,light rain
313,Luz,BR,-19.8014,-45.6856,64.38,63,33,4.81,scattered clouds
314,Caravelas,BR,-17.7125,-39.2481,73.94,79,98,13.15,overcast clouds
315,Longkou,CN,37.6508,120.3286,71.44,74,16,11.03,few clouds
316,Rawson,AR,-43.3002,-65.1023,53.94,48,100,7.83,overcast clouds
317,Bredasdorp,ZA,-34.5322,20.0403,55.27,82,1,3.67,clear sky
318,Ostersund,SE,63.1792,14.6357,46.85,71,40,13.8,scattered clouds
319,Alice Springs,AU,-23.7,133.8833,54.95,30,75,0.0,broken clouds
320,Hofn,IS,64.2539,-15.2082,38.59,90,100,13.0,light rain
321,Hami,CN,42.8,93.45,68.99,42,98,18.41,overcast clouds
322,Hamilton,US,39.1834,-84.5333,91.53,65,1,1.01,clear sky
323,Lalupon,NG,7.4667,4.0667,72.0,95,69,2.19,broken clouds
324,Bengkulu,ID,-3.8004,102.2655,74.88,88,88,3.8,overcast clouds
325,Mountain Home,US,43.133,-115.6912,81.88,23,1,8.05,clear sky
326,Pochutla,MX,15.7432,-96.4661,79.83,87,100,3.98,overcast clouds
327,Cabra,ES,37.4725,-4.4421,76.44,71,2,1.79,clear sky
328,Nome,US,64.5011,-165.4064,49.15,81,90,9.22,overcast clouds
329,Aguimes,ES,27.9054,-15.4461,69.85,75,20,23.02,few clouds
330,Altay,CN,47.8667,88.1167,53.15,56,79,7.2,broken clouds
331,Abu Samrah,SY,35.3029,37.1841,66.18,57,0,10.0,clear sky
332,Mitzic,GA,0.7821,11.549,69.15,98,100,2.39,light rain
333,Nouadhibou,MR,20.931,-17.0347,67.19,86,91,19.91,overcast clouds
334,Choix,MX,26.7092,-108.3219,102.87,29,4,13.11,clear sky
335,Dovers,VC,12.8833,-61.1833,76.59,78,24,15.37,few clouds
336,Canico,PT,32.6333,-16.85,69.08,64,40,9.22,scattered clouds
337,Pokosnoye,RU,55.5258,101.0536,51.69,51,100,1.79,overcast clouds
338,Krasnoarmeyskiy,RU,47.0114,42.2072,62.78,85,93,2.68,light rain
339,Arlit,NE,18.7369,7.3853,93.78,12,18,11.72,few clouds
340,Kanelovskaya,RU,46.5908,39.19,60.76,91,74,6.13,broken clouds
341,Semey,KZ,50.4111,80.2275,53.44,59,47,6.69,scattered clouds
342,Grindavik,IS,63.8424,-22.4338,45.07,81,90,12.66,light rain
343,Muros,ES,42.7762,-9.0603,72.23,75,3,9.4,clear sky
344,Berlevag,NO,70.8578,29.0864,46.81,98,100,6.46,overcast clouds
345,Zheleznodorozhnyy,RU,55.7503,38.0042,59.41,87,46,2.93,scattered clouds
346,Foz,ES,43.5692,-7.2544,67.93,96,74,4.45,broken clouds
347,Kangasala,FI,61.4638,24.076,57.97,97,100,8.08,overcast clouds
