City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
203,Asuncion Nochixtlan,17.4667,-97.2333,69.93,51,96,8.86,MX,2021-06-10 17:53:12
204,Hofn,64.2539,-15.2082,50.02,87,75,13.8,IS,2021-06-10 17:53:13
205,Bathsheba,13.2167,-59.5167,88.41,55,40,19.57,BB,2021-06-10 17:53:15
206,Fare,-16.7,-151.0167,80.74,75,0,7.31,PF,2021-06-10 17:53:16
207,Hervey Bay,-25.2986,152.8535,52.02,72,58,8.55,AU,2021-06-10 17:53:16
208,Vardo,70.3705,31.1107,59.2,81,75,8.05,NO,2021-06-10 17:53:17
209,Newport,51.5877,-2.9984,73.44,87,51,12.24,GB,2021-06-10 17:48:41
210,Abu Dhabi,24.4667,54.3667,93.22,46,0,13.8,AE,2021-06-10 17:53:05
211,Lucapa,-8.4192,20.7447,73.76,39,31,3.53,AO,2021-06-10 17:53:17
212,Champerico,14.3,-91.9167,84.34,87,100,2.01,GT,2021-06-10 17:53:18
213,Coroneo,20.1333,-100.3333,73.58,26,0,11.03,MX,2021-06-10 17:53:18
214,Bibiani,6.4635,-2.3194,75.25,95,96,3.13,GH,2021-06-10 17:53:18
215,Dunyapur,29.7995,71.7196,96.82,23,0,13.24,PK,2021-06-10 17:53:19
216,Port Blair,11.6667,92.75,83.32,81,100,18.79,IN,2021-06-10 17:53:19
217,Alexandria,31.2156,29.9553,75.16,73,0,8.05,EG,2021-06-10 17:48:34
218,Lubbenau,51.8667,13.9667,78.71,61,90,5.21,DE,2021-06-10 17:53:19
219,Platanos,37.6667,21.6167,74.05,70,86,1.77,GR,2021-06-10 17:53:20
220,Fairbanks,64.8378,-147.7164,58.23,70,75,3.44,US,2021-06-10 17:53:20
221,Lasa,46.6166,10.7002,74.28,89,89,5.53,IT,2021-06-10 17:53:20
222,Adrian,41.8975,-84.0372,85.93,63,29,3.0,US,2021-06-10 17:53:19
223,Concepcion Del Uruguay,-32.4825,-58.2372,68.83,72,99,4.0,AR,2021-06-10 17:53:21
224,Ostrovnoy,68.0531,39.5131,65.01,54,96,13.67,RU,2021-06-10 17:53:21
225,Saint George,37.1041,-113.5841,82.63,15,1,4.0,US,2021-06-10 17:53:21
226,Mount Pleasant,32.7941,-79.8626,90.99,72,1,1.99,US,2021-06-10 17:53:22
227,Lahij,13.1667,44.5833,94.35,36,39,3.15,YE,2021-06-10 17:53:22
228,Kitimat,54.0524,-128.6534,56.91,68,94,1.01,CA,2021-06-10 17:53:22
229,Khani,41.9563,42.9566,60.37,96,87,0.22,GE,2021-06-10 17:53:23
230,Wairoa,-39.0333,177.3667,54.61,99,91,1.99,NZ,2021-06-10 17:53:23
231,Arlit,18.7369,7.3853,99.09,7,62,3.96,NE,2021-06-10 17:53:23
232,Padang,-0.9492,100.3543,77.05,87,64,4.27,ID,2021-06-10 17:53:24
233,Bethel,41.3712,-73.414,82.49,50,96,6.6,US,2021-06-10 17:53:24
234,Hasaki,35.7333,140.8333,66.49,75,0,4.38,JP,2021-06-10 17:53:24
235,Chapais,49.7834,-74.8492,56.98,30,100,4.65,CA,2021-06-10 17:53:25
236,Dali,25.7,100.1833,59.92,92,100,2.82,CN,2021-06-10 17:53:25
237,Oranjestad,12.524,-70.027,87.75,66,75,19.57,AW,2021-06-10 17:51:23
238,Eureka,40.8021,-124.1637,65.68,64,22,3.0,US,2021-06-10 17:53:25
239,Luganville,-15.5333,167.1667,77.16,76,100,10.85,VU,2021-06-10 17:53:26
240,Moose Factory,51.2585,-80.6094,55.4,62,1,9.22,CA,2021-06-10 17:53:26
241,Desert Hot Springs,33.9611,-116.5017,85.32,14,0,0.65,US,2021-06-10 17:53:08
242,Gat,31.61,34.7642,77.81,100,0,4.76,IL,2021-06-10 17:53:26
243,Longyearbyen,78.2186,15.6401,35.44,69,40,13.8,SJ,2021-06-10 17:53:27
244,Carbonia,39.1672,8.5222,77.95,58,13,7.85,IT,2021-06-10 17:53:27
245,Fort Madison,40.6298,-91.3151,90.43,55,1,0.0,US,2021-06-10 17:53:27
246,Korla,41.7597,86.1469,77.22,29,51,12.44,CN,2021-06-10 17:53:27
247,Jumla,29.2747,82.1838,62.76,90,71,1.61,NP,2021-06-10 17:53:28
248,Yarmouth,41.7057,-70.2286,75.18,51,1,18.01,US,2021-06-10 17:53:28
249,Tonantins,-2.8731,-67.8022,86.38,65,73,1.39,BR,2021-06-10 17:53:28
250,San Rafael Del Sur,11.8485,-86.4384,90.57,53,75,10.29,NI,2021-06-10 17:53:29
251,Goderich,43.7501,-81.7165,79.12,44,6,12.66,CA,2021-06-10 17:53:29
252,Saint Anthony,45.0205,-93.218,96.94,43,20,1.01,US,2021-06-10 17:53:29
253,Harper,4.375,-7.7169,79.65,80,100,6.22,LR,2021-06-10 17:53:30
254,Esperance,-33.8667,121.9,62.44,89,80,11.41,AU,2021-06-10 17:53:30
255,Brewster,41.3973,-73.6171,83.95,48,97,5.86,US,2021-06-10 17:53:30
256,Staryy Nadym,65.6118,72.6842,48.25,52,96,5.61,RU,2021-06-10 17:53:31
257,Oktyabrskiy,54.4815,53.471,56.25,89,85,6.67,RU,2021-06-10 17:53:31
258,Salta,-24.7859,-65.4117,74.57,30,0,5.99,AR,2021-06-10 17:50:50
259,Kota Bahru,6.1333,102.2386,76.98,83,20,5.01,MY,2021-06-10 17:53:32
260,Burnie,-41.0667,145.9167,55.92,92,45,8.34,AU,2021-06-10 17:53:32
261,Sur,22.5667,59.5289,88.59,67,0,12.91,OM,2021-06-10 17:53:32
262,Kavaratti,10.5669,72.642,83.84,73,99,15.17,IN,2021-06-10 17:53:32
263,Bonavista,48.6499,-53.1147,39.2,98,100,12.86,CA,2021-06-10 17:53:33
264,Kruisfontein,-34.0033,24.7314,59.88,51,0,3.6,ZA,2021-06-10 17:53:33
265,Kinsale,51.7075,-8.5306,58.37,100,90,14.97,IE,2021-06-10 17:53:33
266,Berlevag,70.8578,29.0864,58.95,67,75,12.66,NO,2021-06-10 17:53:34
267,Asfi,32.2994,-9.2372,76.86,52,24,17.29,MA,2021-06-10 17:53:34
